x,R,G,B,min_over_frames_G,max_over_frames_G,mean_over_frames_G
1286,284,284,284,280,284,283.867
1287,284,284,284,284,284,284.000
1288,284,284,284,284,284,284.000
1289,284,284,284,284,288,284.200
1290,288,284,284,284,288,284.800
1291,284,284,284,284,288,284.867
1292,284,284,284,284,288,284.933
1293,288,284,284,284,288,284.933
1294,284,284,284,284,288,285.533
1295,284,288,284,284,288,285.400
1296,284,284,288,284,288,285.800
1297,288,288,284,284,288,286.067
1298,284,284,288,284,288,286.400
1299,288,284,284,284,288,286.533
1300,284,288,288,284,288,286.867
1301,284,284,288,284,288,286.933
1302,284,288,288,284,288,287.400
1303,288,288,288,284,288,287.467
1304,284,288,288,284,288,287.467
1305,288,284,288,284,288,287.867
1306,288,288,288,288,292,288.133
1307,288,288,288,288,292,288.467
1308,288,288,288,288,292,288.467
1309,288,292,288,288,292,289.267
1310,288,288,288,288,292,289.467
1311,288,288,288,288,292,289.400
1312,292,288,288,288,292,289.533
1313,288,288,292,288,292,289.733
1314,292,288,288,288,292,290.000
1315,288,292,288,288,292,289.933
1316,288,292,292,288,292,290.467
1317,292,292,292,288,292,290.800
1318,288,292,292,288,292,290.933
1319,292,292,292,288,292,291.333
1320,292,292,288,288,292,291.333
1321,292,292,288,288,292,291.467
1322,292,292,292,288,292,291.600
1323,292,292,292,288,292,291.733
1324,292,292,292,292,296,292.467
1325,292,292,292,292,296,292.333
1326,296,292,292,292,296,293.133
1327,292,292,292,292,296,292.467
1328,296,292,296,292,296,293.400
1329,292,292,292,292,296,293.333
1330,292,296,292,292,296,294.067
1331,292,292,296,292,296,293.733
1332,296,296,292,292,296,294.133
1333,296,292,296,292,296,294.400
1334,296,296,292,292,296,294.867
1335,296,296,296,292,296,294.800
1336,292,296,296,292,296,294.933
1337,296,296,296,292,296,295.133
1338,296,292,296,292,296,295.267
1339,296,296,296,292,296,295.600
1340,296,296,296,292,296,295.800
1341,296,296,296,292,296,295.933
1342,296,296,296,296,300,296.200
1343,296,296,296,296,300,296.467
1344,296,296,296,296,300,296.733
1345,296,296,296,296,300,296.400
1346,296,296,296,296,300,296.467
1347,296,300,296,296,300,297.267
1348,296,300,300,296,300,297.333
1349,300,296,300,296,300,297.867
1350,296,300,296,296,300,298.267
1351,300,300,300,296,300,298.267
1352,300,300,300,296,300,298.533
1353,300,300,300,296,300,298.733
1354,300,300,296,296,300,298.667
1355,296,300,300,296,300,299.133
1356,300,300,296,296,300,299.200
1357,300,300,300,296,300,299.667
1358,300,300,300,296,300,299.667
1359,300,300,300,300,300,300.000
1360,300,300,304,300,304,300.067
1361,304,300,300,300,304,300.533
1362,300,300,304,300,304,300.333
1363,300,300,300,300,304,300.600
1364,300,300,304,300,304,301.133
1365,304,300,300,300,304,300.933
1366,300,300,300,300,304,301.400
1367,304,304,300,300,304,301.600
1368,304,304,304,300,304,302.000
1369,304,300,304,300,304,302.333
1370,300,304,300,300,304,302.333
1371,300,304,304,300,304,302.667
1372,300,304,304,300,304,302.667
1373,304,300,304,300,304,302.667
1374,304,304,304,300,304,303.133
1375,304,304,304,300,304,303.400
1376,304,304,304,300,304,303.667
1377,304,304,304,300,304,303.867
1378,304,304,304,304,308,304.067
1379,304,308,304,304,308,304.333
1380,308,304,304,304,308,304.467
1381,304,304,304,304,308,304.667
1382,304,304,304,304,308,304.600
1383,304,304,304,304,308,305.400
1384,304,304,304,304,308,305.067
1385,308,304,308,304,308,305.933
1386,304,304,304,304,308,305.600
1387,308,308,304,304,308,306.400
1388,308,308,308,304,308,306.333
1389,308,304,308,304,308,306.200
1390,304,304,304,304,308,306.600
1391,308,308,308,304,308,306.467
1392,308,308,304,304,308,307.133
1393,304,308,308,304,308,307.400
1394,308,308,308,304,308,307.667
1395,304,308,308,304,308,307.933
1396,308,308,308,308,308,308.000
1397,308,308,308,308,312,308.133
1398,312,308,308,308,312,308.267
1399,308,312,312,308,312,309.000
1400,308,312,312,308,312,308.933
1401,308,308,308,308,312,309.200
1402,308,312,308,308,312,309.133
1403,308,312,312,308,312,309.333
1404,308,312,312,308,312,309.600
1405,312,312,312,308,312,310.600
1406,308,308,312,308,312,310.600
1407,308,312,308,308,312,310.267
1408,308,308,312,308,312,310.600
1409,312,312,312,308,312,310.733
1410,312,312,308,308,312,311.000
1411,312,312,308,308,312,311.400
1412,312,312,312,308,312,311.733
1413,312,312,312,308,312,311.600
1414,312,312,312,312,316,312.133
1415,312,312,312,312,316,312.267
1416,312,312,312,312,316,312.267
1417,316,312,312,312,316,312.600
1418,312,312,312,312,316,313.067
1419,312,312,312,312,316,313.200
1420,312,312,312,312,316,313.333
1421,316,312,312,312,316,313.600
1422,316,316,312,312,316,313.533
1423,312,316,316,312,316,313.800
1424,316,312,316,312,316,314.000
1425,312,312,312,312,316,313.867
1426,312,312,316,312,316,314.133
1427,312,316,316,312,316,315.200
1428,316,316,316,312,316,315.333
1429,316,316,316,312,316,315.133
1430,316,316,316,312,316,315.667
1431,316,316,316,312,316,315.533
1432,316,316,316,316,316,316.000
1433,316,316,316,316,320,316.133
1434,316,316,316,316,320,316.533
1435,316,316,316,316,320,316.733
1436,316,316,316,316,320,316.867
1437,316,316,316,316,320,317.067
1438,316,320,316,316,320,317.400
1439,316,316,320,316,320,317.600
1440,316,316,320,316,320,317.667
1441,316,316,316,316,320,317.600
1442,316,316,316,316,320,318.200
1443,316,316,316,316,320,318.733
1444,320,316,316,316,320,318.933
1445,320,320,316,316,320,319.000
1446,316,320,320,316,320,318.733
1447,320,320,320,316,320,319.200
1448,320,316,320,316,320,319.533
1449,320,320,320,316,320,319.600
1450,320,320,320,320,320,320.000
1451,320,320,320,320,324,320.200
1452,320,324,320,320,324,320.867
1453,320,320,320,320,324,320.733
1454,320,320,320,320,324,320.333
1455,324,320,320,320,324,321.267
1456,324,324,320,320,324,321.000
1457,320,324,320,320,324,321.467
1458,320,320,320,320,324,321.600
1459,320,324,320,320,324,321.733
1460,320,324,324,320,324,322.467
1461,320,320,324,320,324,322.733
1462,324,320,324,320,324,322.600
1463,324,324,320,320,324,323.133
1464,324,324,324,320,324,323.067
1465,320,324,324,320,324,323.267
1466,324,324,324,320,324,323.667
1467,324,324,324,320,324,323.667
1468,324,324,324,320,324,323.867
1469,324,324,324,324,328,324.200
1470,328,328,324,324,328,324.333
1471,324,324,324,324,328,325.000
1472,324,324,324,324,328,324.533
1473,328,324,324,324,328,325.400
1474,324,324,324,324,328,324.867
1475,324,324,324,324,328,325.800
1476,328,324,324,324,328,325.933
1477,328,328,324,324,328,325.333
1478,324,324,328,324,328,326.067
1479,324,328,328,324,328,326.267
1480,328,324,328,324,328,326.267
1481,324,324,328,324,328,326.933
1482,328,328,324,324,328,327.133
1483,324,328,328,324,328,327.600
1484,328,328,328,324,328,327.467
1485,328,328,328,324,328,327.733
1486,328,328,328,324,328,327.933
1487,328,328,328,328,332,328.133
1488,328,328,328,328,332,328.533
1489,328,328,328,328,332,328.267
1490,328,328,328,328,332,328.800
1491,328,332,332,328,332,329.400
1492,328,328,328,328,332,329.267
1493,328,332,328,328,332,329.800
1494,332,332,328,328,332,329.467
1495,328,332,332,328,332,330.133
1496,332,328,332,328,332,330.200
1497,328,332,328,328,332,330.000
1498,328,328,332,328,332,330.600
1499,332,328,328,328,332,331.333
1500,332,332,328,328,332,331.133
1501,332,332,332,328,332,331.133
1502,328,332,332,328,332,331.600
1503,332,332,332,328,332,331.733
1504,332,332,332,328,332,331.933
1505,332,332,332,332,336,332.267
1506,332,332,332,332,336,332.133
1507,332,332,332,332,336,332.467
1508,332,332,332,332,336,332.800
1509,332,336,332,332,336,332.867
1510,336,332,336,332,336,333.333
1511,336,336,332,332,336,333.267
1512,336,332,336,332,336,333.533
1513,332,336,332,332,336,334.133
1514,332,332,336,332,336,334.133
1515,332,336,332,332,336,334.200
1516,332,336,336,332,336,334.800
1517,336,336,336,332,336,335.133
1518,332,336,336,332,336,335.133
1519,336,332,336,332,336,335.133
1520,336,336,336,332,336,335.600
1521,336,336,336,332,336,335.667
1522,336,336,336,332,336,335.933
1523,336,336,336,336,340,336.133
1524,336,336,336,336,340,336.267
1525,336,340,336,336,340,336.733
1526,340,336,336,336,340,336.733
1527,336,340,336,336,340,337.000
1528,340,336,340,336,340,336.933
1529,336,336,336,336,340,337.867
1530,340,336,336,336,340,337.467
1531,336,336,336,336,340,338.133
1532,340,340,336,336,340,337.533
1533,340,340,340,336,340,338.067
1534,340,340,340,336,340,338.533
1535,340,340,340,336,340,338.667
1536,336,336,340,336,340,338.867
1537,340,340,340,336,340,339.333
1538,336,340,340,336,340,339.600
1539,340,340,340,336,340,339.267
1540,340,340,340,336,340,339.867
1541,340,340,340,340,340,340.000
1542,340,340,340,340,344,340.333
1543,340,340,340,340,344,340.400
1544,340,340,344,340,344,340.667
1545,340,340,340,340,344,341.333
1546,340,344,340,340,344,341.467
1547,340,344,340,340,344,341.467
1548,340,340,344,340,344,341.533
1549,344,340,340,340,344,342.067
1550,344,344,344,340,344,342.467
1551,344,344,344,340,344,342.400
1552,344,344,344,340,344,342.467
1553,344,344,344,340,344,342.667
1554,344,344,340,340,344,342.933
1555,340,340,344,340,344,343.267
1556,344,344,340,340,344,343.600
1557,344,344,344,340,344,343.733
1558,344,344,340,340,344,343.867
1559,344,344,344,344,344,344.000
1560,348,344,344,344,348,344.267
